index,product,category,sub_category,brand,sale_price,market_price,type,rating,rating_status,discount_amt,discount_pct
15677,cream beauty bathing bar,Beauty & Hygiene,Bath & Hand Wash,dove,115.0,115.0,Bathing Bars & Soaps,4.2,Rated,0.0,0.0
15678,"loofah/sponge scrubber/body bath - dual side, hangable, blue, bh-070",Beauty & Hygiene,Bath & Hand Wash,bb home,139.0,235.0,Bathing Accessories,,Not Rated,96.0,40.85106382978723
15679,kabasura kudineer,Beauty & Hygiene,Health & Medicine,sri sri tattva,130.0,130.0,Ayurveda,,Not Rated,0.0,0.0
15680,spanish saffron,"Foodgrains, Oil & Masala",Masalas & Spices,amado,1550.0,1550.0,Whole Spices,5.0,Rated,0.0,0.0
15681,master body spray - cedar,Beauty & Hygiene,Fragrances & Deos,fogg,192.5,275.0,Men's Deodorants,4.5,Rated,82.5,30.0
15682,"steel kitchen fruits & vegetable storage rack/trolley/stand, 2 layer - vr10233","Kitchen, Garden & Pets",Kitchen Accessories,hazel,2799.0,2799.0,Kitchen Tools & Other Accessories,,Not Rated,0.0,0.0
15683,instant noodles - chilli & lime,Gourmet & World Food,"Pasta, Soup & Noodles",koka,67.5,75.0,Imported Noodles,4.1,Rated,7.5,10.0
15684,"padded lead - 3/4 inch, fawn colour","Kitchen, Garden & Pets",Pet Food & Accessories,glenand,595.0,595.0,Pet Collars & Leashes,,Not Rated,0.0,0.0
15685,muffin/cup cake - choco chip,"Bakery, Cakes & Dairy",Cakes & Pastries,fresho signature,159.0,159.0,Muffins & Cup Cakes,4.1,Rated,0.0,0.0
15686,divine nutritive creme spf 20,Beauty & Hygiene,Skin Care,lotus organics+,616.25,725.0,Face Care,,Not Rated,108.75,15.0
15687,love is in the air cube reed diffuser,Cleaning & Household,Fresheners & Repellents,soulflower,1250.0,1250.0,Air Freshener,,Not Rated,0.0,0.0
15688,baking powder,Snacks & Branded Foods,Ready To Cook & Eat,weikfield,80.0,80.0,Home Baking,4.4,Rated,0.0,0.0
15689,white radish - sliced,Fruits & Vegetables,Fresh Vegetables,fresho,29.0,36.25,Cut & Peeled Veggies,,Not Rated,7.25,20.0
15690,"padded lead - 3/4 inch, black colour","Kitchen, Garden & Pets",Pet Food & Accessories,glenand,595.0,595.0,Pet Collars & Leashes,,Not Rated,0.0,0.0
15691,color protect conditioner,Beauty & Hygiene,Hair Care,loreal paris,159.2,199.0,Shampoo & Conditioner,4.4,Rated,39.80000000000001,20.000000000000007
15692,freshmatic automatic air freshener kit - hills of munnar,Cleaning & Household,Fresheners & Repellents,air wick,516.0,575.0,Air Freshener,4.3,Rated,59.0,10.26086956521739
15693,apple cider vinegar face wash,Beauty & Hygiene,Skin Care,biotique,168.75,225.0,Face Care,3.0,Rated,56.25,25.0
15694,elaichi chai milk shake,"Bakery, Cakes & Dairy",Dairy,storia,32.55,35.0,"Flavoured, Soya Milk",3.5,Rated,2.450000000000003,7.000000000000008
15695,antiseptic liquid 550 ml + laundry sanitizer- spring blossom 480 ml,Beauty & Hygiene,Health & Medicine,dettol,303.3,346.91,Antiseptics & Bandages,,Not Rated,43.610000000000014,12.570983828658733
15696,diaper pants - premium care large,Baby Care,Diapers & Wipes,pampers,391.02,399.0,Diapers,4.9,Rated,7.980000000000018,2.0000000000000044
15697,naturals mosquito repellent spray,Cleaning & Household,Fresheners & Repellents,odomos,72.25,85.0,Mosquito Repellent,4.2,Rated,12.75,15.0
15698,gentle baby bubble bath - white 500 ml + mild baby shampoo 500 ml,Baby Care,Baby Bath & Hygiene,mee mee,538.2,598.0,Baby Creams & Lotions,,Not Rated,59.799999999999955,9.999999999999993
15699,black olives - pitted,Gourmet & World Food,Tinned & Processed Food,habit,800.0,800.0,"Olive, Jalapeno, Gherkin",,Not Rated,0.0,0.0
15700,"disinfectant floor & surface cleaner - citrus, kills 99.9% germs",Cleaning & Household,All Purpose Cleaners,bb home,98.0,98.0,Floor & Other Cleaners,4.0,Rated,0.0,0.0
15701,idli rava,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",india gate,55.0,55.0,"Sooji, Maida & Besan",4.1,Rated,0.0,0.0
15702,gold facial kit - blister pack,Beauty & Hygiene,Skin Care,banjara's,225.0,225.0,Face Care,4.3,Rated,0.0,0.0
15703,papad - pudina rice,Snacks & Branded Foods,Ready To Cook & Eat,atish,28.0,28.0,"Papads, Ready To Fry",4.0,Rated,0.0,0.0
15704,palette intensive colour cream long lasting intensity 7-0 medium blonde,Beauty & Hygiene,Hair Care,schwarzkopf,325.0,325.0,Hair Color,4.5,Rated,0.0,0.0
15705,organic classic peach ice tea,Gourmet & World Food,Drinks & Beverages,brewhouse tea brewing co.,144.0,160.0,Gourmet Juices & Drinks,,Not Rated,16.0,10.0
15706,grapeseed oil smoothing hair serum - leave-on,Beauty & Hygiene,Hair Care,aloe veda,351.0,390.0,Hair Oil & Serum,4.7,Rated,39.0,10.0
15707,100% melamine 750 ml mixing bowl with anti skid grip - green,"Kitchen, Garden & Pets",Crockery & Cutlery,iveo,149.0,200.0,Plates & Bowls,4.1,Rated,51.0,25.5
15708,kitchen press super-lock system,"Kitchen, Garden & Pets",Kitchen Accessories,ritu,399.0,570.0,Kitchen Tools & Other Accessories,3.7,Rated,171.0,30.0
15709,brahmi churna,Beauty & Hygiene,Health & Medicine,desi utthana,99.0,99.0,Supplements & Proteins,,Not Rated,0.0,0.0
15710,pasta - le penne rigate n.19,Gourmet & World Food,"Pasta, Soup & Noodles",agnesi,250.0,250.0,Pastas & Spaghetti,3.5,Rated,0.0,0.0
15711,svasti pure cow ghee squeeze-it,"Foodgrains, Oil & Masala",Edible Oils & Ghee,aashirvaad svasti,153.0,170.0,Ghee & Vanaspati,5.0,Rated,17.0,10.0
15712,namkeen - khara boondi,Snacks & Branded Foods,Snacks & Namkeen,sanjay,55.0,55.0,Namkeen & Savoury Snacks,3.8,Rated,0.0,0.0
15713,sandhimitra arka,Beauty & Hygiene,Health & Medicine,sri sri tattva,130.0,130.0,Ayurveda,,Not Rated,0.0,0.0
15714,artisanal chai masala,"Foodgrains, Oil & Masala",Masalas & Spices,rooted peepul,308.75,325.0,Blended Masalas,,Not Rated,16.25,5.0
15715,mango drink,Beverages,Fruit Juices & Drinks,maaza,30.0,40.0,Juices,,Not Rated,10.0,25.0
15716,marigold flower - yellow,Fruits & Vegetables,"Flower Bouquets, Bunches",fresho,15.0,18.75,Marigold,,Not Rated,3.75,20.0
15717,pineapple bird's eye chili syrup - 100% natural,Gourmet & World Food,Drinks & Beverages,swa artisanal syrups,300.0,300.0,Gourmet Juices & Drinks,,Not Rated,0.0,0.0
15718,khaas deo stick,Beauty & Hygiene,Fragrances & Deos,stonesoup,345.0,345.0,Men's Deodorants,,Not Rated,0.0,0.0
15719,pav bhaji masala,"Foodgrains, Oil & Masala",Masalas & Spices,orika,48.0,64.0,Blended Masalas,4.7,Rated,16.0,25.0
15720,organic roasted bengal gram whole (chana),"Foodgrains, Oil & Masala",Organic Staples,bb royal,99.0,130.0,Organic Dals & Pulses,,Not Rated,31.0,23.846153846153847
15721,tulsi powder,Beauty & Hygiene,Health & Medicine,desi utthana,99.0,99.0,Supplements & Proteins,,Not Rated,0.0,0.0
15722,itch guard plus cream,Beauty & Hygiene,Health & Medicine,itch guard,89.1,99.0,Everyday Medicine,4.1,Rated,9.900000000000006,10.000000000000005
15723,"tomato - hybrid, organically grown",Fruits & Vegetables,Organic Fruits & Vegetables,fresho,7.5,9.38,Organic Vegetables,,Not Rated,1.8800000000000008,20.042643923240945
15724,bombay sandwich spread,Gourmet & World Food,"Sauces, Spreads & Dips",happychef,119.0,189.0,Thai & Asian Sauces,,Not Rated,70.0,37.03703703703704
15725,dust pan - super,Cleaning & Household,"Mops, Brushes & Scrubs",magix,99.0,99.0,Brooms & Dust Pans,3.1,Rated,0.0,0.0
15726,"pasta - fussilli buckwheat, gluten free",Gourmet & World Food,"Pasta, Soup & Noodles",nutrahi,199.0,199.0,Pastas & Spaghetti,4.3,Rated,0.0,0.0
15727,dark chocolate,Gourmet & World Food,Chocolates & Biscuits,toblerone,225.0,225.0,International Chocolates,4.2,Rated,0.0,0.0
15728,"green tea - tulsi, lemon & ginger",Beverages,Tea,organic india,194.0,194.0,Green Tea,4.3,Rated,0.0,0.0
15729,california - pitted prunes,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",wilbur,260.0,260.0,Dry Fruits & Berries,,Not Rated,0.0,0.0
15730,soap - forest spice,Beauty & Hygiene,Bath & Hand Wash,wild stone,50.0,50.0,Bathing Bars & Soaps,4.2,Rated,0.0,0.0
15731,packaged drinking water,Beverages,Water,aquafina,35.0,35.0,Packaged Water,4.2,Rated,0.0,0.0
15732,everfresh lavender meadows gel blocks,Cleaning & Household,Fresheners & Repellents,air wick,59.0,65.0,Air Freshener,3.7,Rated,6.0,9.230769230769232
15733,"adult diaper pants classic, medium",Beauty & Hygiene,Health & Medicine,friends,500.0,500.0,Adult Diapers,,Not Rated,0.0,0.0
15734,"borosilicate glass lunch box/tiffin box round - microwavable, premium, airvent green lid with bag","Kitchen, Garden & Pets",Storage & Accessories,home puff,899.0,1499.0,Lunch Boxes,5.0,Rated,600.0,40.0266844563042
15735,sandwich spread - cheese & chilli,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",veeba,80.1,89.0,"Jam, Conserve, Marmalade",4.3,Rated,8.900000000000006,10.000000000000005
15736,smoked chicken adult dog food,"Kitchen, Garden & Pets",Pet Food & Accessories,purepet,1699.15,1999.0,Pet Meals & Treats,3.9,Rated,299.8499999999999,14.999999999999996
15737,"stainless steel lunch box - tiffin set, blue bb 570 3","Kitchen, Garden & Pets",Steel Utensils,tedemei,459.0,565.0,Lunch Boxes,,Not Rated,106.0,18.761061946902654
15738,toothbrush fighter - soft,Beauty & Hygiene,Oral Care,pepsodent,20.0,20.0,Toothbrush,3.9,Rated,0.0,0.0
15739,organic watermelon seeds/kallangadi bija,"Foodgrains, Oil & Masala",Organic Staples,merakisan,191.0,191.0,Organic Dry Fruits,3.5,Rated,0.0,0.0
15740,phoenix fruit & vegetable plastic basket - assorted colour,Cleaning & Household,Bins & Bathroom Ware,aristo,109.0,141.0,"Laundry, Storage Baskets",3.7,Rated,32.0,22.69503546099291
15741,co-creations yuko - expert perfect straight with straight lock shampoo,Beauty & Hygiene,Hair Care,sunsilk,52.0,52.0,Shampoo & Conditioner,4.1,Rated,0.0,0.0
15742,smooth & shine shampoo,Beauty & Hygiene,Hair Care,tresemme,220.5,245.0,Shampoo & Conditioner,4.4,Rated,24.5,10.0
15743,coffee shaving foam - for home & salon use,Beauty & Hygiene,Men's Grooming,bombay shaving company,265.5,295.0,Shaving Care,5.0,Rated,29.5,10.0
15744,"secure- cottony xl, 40pcs save rs.10 + secure xl cottony soft with wings 20pcs",Beauty & Hygiene,Feminine Hygiene,stayfree,259.59,335.0,Sanitary Napkins,,Not Rated,75.41000000000003,22.510447761194037
15745,original all-in-one regular dishwasher tablets,Cleaning & Household,All Purpose Cleaners,fairy,1699.0,1699.0,Imported Cleaners,,Not Rated,0.0,0.0
15746,guggulhills - tablets,Beauty & Hygiene,Health & Medicine,herbal hills,195.0,195.0,Supplements & Proteins,,Not Rated,0.0,0.0
15747,gelatine,Snacks & Branded Foods,Ready To Cook & Eat,eagle,81.0,81.0,Home Baking,4.0,Rated,0.0,0.0
15748,facial kit - sensitive skin,Beauty & Hygiene,Skin Care,aroma magic,1800.0,3000.0,Face Care,,Not Rated,1200.0,40.0
15749,instant coffee - caramel flavour,Beverages,Coffee,levista,250.0,250.0,Instant Coffee,,Not Rated,0.0,0.0
15750,green tea - pure & light,Beverages,Tea,lipton,150.0,150.0,Green Tea,4.4,Rated,0.0,0.0
15751,"greek yogurt mixed berry +strawberry +alphonso mango, no added sugar (120g each)",Gourmet & World Food,Dairy & Cheese,epigamia,192.0,210.0,Flavoured & Greek Yogurt,,Not Rated,18.0,8.571428571428571
15752,"plastic snacker round container - small, brown","Kitchen, Garden & Pets",Storage & Accessories,flair,59.0,95.0,Containers Sets,,Not Rated,36.0,37.89473684210527
15753,non stick cookware gift set,"Kitchen, Garden & Pets",Cookware & Non Stick,nirlon,2489.0,2489.0,Cookware Sets,4.6,Rated,0.0,0.0
15754,multi-utility transparent plastic basket/tray - small,Cleaning & Household,Bins & Bathroom Ware,nakoda,269.0,346.0,"Laundry, Storage Baskets",4.0,Rated,77.0,22.254335260115607
15755,green tea,Beverages,Tea,twinings,252.0,280.0,Green Tea,4.3,Rated,28.0,10.0
15756,biolage smoothproof smoothing conditioner,Beauty & Hygiene,Hair Care,matrix,315.0,315.0,Shampoo & Conditioner,4.1,Rated,0.0,0.0
15757,ragi flour/ragi hittu,"Foodgrains, Oil & Masala",Organic Staples,organic tattva,66.5,70.0,Organic Flours,4.1,Rated,3.5,5.0
15758,oil - gingelly,"Foodgrains, Oil & Masala",Edible Oils & Ghee,vvv,271.0,271.0,Gingelly Oil,4.3,Rated,0.0,0.0
15759,cranberry cookies,Gourmet & World Food,Chocolates & Biscuits,merba,240.0,240.0,"Cookies, Biscotti, Wafer",,Not Rated,0.0,0.0
15760,spicy chettinad tikka masala,Gourmet & World Food,Cooking & Baking Needs,as chefs cook,202.5,225.0,"Curry Paste, Coconut Milk",5.0,Rated,22.5,10.0
15761,skin awakening moisture boost face serum,Beauty & Hygiene,Skin Care,dot & key,645.0,645.0,Face Care,2.5,Rated,0.0,0.0
15762,cool kick men deodorant - 48h long lasting freshness,Beauty & Hygiene,Fragrances & Deos,nivea,189.0,210.0,Men's Deodorants,3.7,Rated,21.0,10.0
15763,ultra smooth after-shave balm,Beauty & Hygiene,Men's Grooming,axe,255.0,300.0,Shaving Care,2.5,Rated,45.0,15.0
15764,mix - rice idli,Snacks & Branded Foods,Ready To Cook & Eat,gits,108.0,120.0,Breakfast & Snack Mixes,4.1,Rated,12.0,10.0
15765,super scrub - hard,Cleaning & Household,"Mops, Brushes & Scrubs",gala,75.0,75.0,"Utensil Scrub-Pad, Glove",4.3,Rated,0.0,0.0
15766,baby fork set - orchid,"Kitchen, Garden & Pets",Crockery & Cutlery,montavo,185.0,185.0,"Cutlery, Spoon & Fork",3.0,Rated,0.0,0.0
15767,pure rose water,Beauty & Hygiene,Skin Care,iba,45.5,65.0,Face Care,4.0,Rated,19.5,30.0
15768,satreetha shampoo,Beauty & Hygiene,Hair Care,khadi meghdoot,170.0,170.0,Shampoo & Conditioner,,Not Rated,0.0,0.0
15769,processed cheese - herbs n spices,Gourmet & World Food,Dairy & Cheese,dairy craft,190.0,190.0,International Cheese,,Not Rated,0.0,0.0
15770,colour metal dustbin / garbage bin - mesh,Cleaning & Household,Bins & Bathroom Ware,apex,259.0,299.0,Dustbins,3.9,Rated,40.0,13.377926421404682
15771,vermicelli - toasted,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",savorit,65.0,65.0,Vermicelli,,Not Rated,0.0,0.0
15772,"non veg kebab - galouti 210 g, mediterranean chicken 210 g & chicken pops 230 g",Snacks & Branded Foods,Frozen Veggies & Snacks,itc master chef,468.36,510.0,Frozen Non-Veg Snacks,,Not Rated,41.639999999999986,8.164705882352937
15773,millets masala oats - veggie masala,Snacks & Branded Foods,Breakfast Cereals,gooddiet,90.5,181.0,Oats & Porridge,,Not Rated,90.5,50.0
15774,organic brown sugar/sakkare,"Foodgrains, Oil & Masala",Organic Staples,organic nation,68.0,85.0,"Organic Sugar, Jaggery",4.5,Rated,17.0,20.0
15775,pak choi,Fruits & Vegetables,Fresh Vegetables,fresho,25.0,31.25,Exotic Vegetables,,Not Rated,6.25,20.0
15776,handwash - mild,Beauty & Hygiene,Bath & Hand Wash,santoor,272.23,327.0,Hand Wash & Sanitizers,4.3,Rated,54.76999999999998,16.74923547400611
15777,instant coffee - choco orange flavour,Beverages,Coffee,levista,250.0,250.0,Instant Coffee,,Not Rated,0.0,0.0
15778,seabuckthorn juice,Gourmet & World Food,Drinks & Beverages,nutriorg,499.5,555.0,Health Drinks,,Not Rated,55.5,10.0
15779,swachh plastic printed pedal dustbin / garbage bin - assorted colour,Cleaning & Household,Bins & Bathroom Ware,nakoda,582.0,582.0,Dustbins,3.2,Rated,0.0,0.0
15780,coffee roasters - very dark french roast & whole bean,Gourmet & World Food,Drinks & Beverages,blue tokai,450.0,450.0,Coffee & Pre-Mix,,Not Rated,0.0,0.0
15781,opal pearl plastic clip/ cloth clip,Cleaning & Household,Bins & Bathroom Ware,mr. boss,39.0,45.0,"Hangers, Clips & Rope",3.4,Rated,6.0,13.333333333333334
15782,extra virgin olive oil,Gourmet & World Food,Oils & Vinegar,figaro,424.99,599.0,Extra Virgin Olive Oil,4.4,Rated,174.01,29.05008347245409
15783,cold balm,Beauty & Hygiene,Health & Medicine,himalaya wellness,36.0,40.0,Supplements & Proteins,4.5,Rated,4.0,10.0
15784,packaged drinking water,Beverages,Water,aquafina,240.0,240.0,Packaged Water,4.1,Rated,0.0,0.0
15785,dairy whipping cream,"Bakery, Cakes & Dairy",Dairy,rro dairy,250.0,250.0,"Paneer, Tofu & Cream",,Not Rated,0.0,0.0
15786,mom & baby care essentials suitcase gift box,Baby Care,Baby Bath & Hygiene,the moms co,2399.0,2399.0,Baby Gift Sets,3.7,Rated,0.0,0.0
15787,baby powder,Baby Care,Baby Bath & Hygiene,sebamed,666.0,666.0,Baby Powder,4.1,Rated,0.0,0.0
15788,milk chocolate spread,Gourmet & World Food,Chocolates & Biscuits,cadbury,650.0,650.0,"Marshmallow, Candy, Jelly",,Not Rated,0.0,0.0
15789,"wet cat food - tuna in jelly, for kittens, 2-12 months","Kitchen, Garden & Pets",Pet Food & Accessories,whiskas,30.0,30.0,Pet Meals & Treats,4.4,Rated,0.0,0.0
15790,nuts & berries - premium international,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",happilo,273.75,365.0,Roasted Seeds & Nuts,3.9,Rated,91.25,25.0
15791,shea butter lip balm,Beauty & Hygiene,Skin Care,organic harvest,169.15,199.0,Lip Care,4.1,Rated,29.849999999999994,14.999999999999996
15792,chocolate coated almonds,Gourmet & World Food,Chocolates & Biscuits,sapphire,600.0,600.0,"Luxury Chocolates, Gifts",3.3,Rated,0.0,0.0
15793,pearl kit,Beauty & Hygiene,Skin Care,natures essence,500.0,500.0,Face Care,,Not Rated,0.0,0.0
15794,scent - impressio for men,Beauty & Hygiene,Men's Grooming,fogg,275.0,500.0,Men's Deodorants,3.8,Rated,225.0,45.0
15795,spray glass water bottle with cork - violet,"Kitchen, Garden & Pets",Storage & Accessories,treo,439.0,540.0,Water & Fridge Bottles,3.0,Rated,101.0,18.703703703703702
15796,pancake - butter,Gourmet & World Food,Chocolates & Biscuits,gogi,125.0,125.0,"Cookies, Biscotti, Wafer",,Not Rated,0.0,0.0
15797,"laundry basket with handle - printed non-woven cloth, majenta",Cleaning & Household,Bins & Bathroom Ware,ciplaplast,999.0,999.0,"Laundry, Storage Baskets",,Not Rated,0.0,0.0
15798,premium natural anti mosquito patches,Beauty & Hygiene,Health & Medicine,bodyguard,148.75,175.0,Everyday Medicine,3.4,Rated,26.25,15.0
15799,kisses - almonds chocolate,Snacks & Branded Foods,Chocolates & Candies,hersheys,40.0,50.0,Chocolates,4.2,Rated,10.0,20.0
15800,top speed hair color,Beauty & Hygiene,Hair Care,revlon,664.05,699.0,Shampoo & Conditioner,4.2,Rated,34.950000000000045,5.000000000000006
15801,peach - indian,Fruits & Vegetables,Exotic Fruits & Veggies,fresho,149.0,186.25,Apples & Pomegranate,,Not Rated,37.25,20.0
15802,gun powder,Snacks & Branded Foods,Pickles & Chutney,future organics,140.0,140.0,Chutney Powder,3.8,Rated,0.0,0.0
15803,spiral candle - multicolored,Cleaning & Household,Pooja Needs,unique arts & interiors,100.0,100.0,Candles & Match Box,3.9,Rated,0.0,0.0
15804,organic rajma/capparadavare chitra,"Foodgrains, Oil & Masala",Organic Staples,bb royal,179.0,199.0,Organic Dals & Pulses,4.1,Rated,20.0,10.050251256281408
15805,"nasal aspirator with ear syringe - assorted colour, orange/green",Baby Care,Baby Accessories,vauva,170.0,170.0,"Combs, Brushes, Clippers",3.8,Rated,0.0,0.0
15806,garlic pickle,Gourmet & World Food,"Sauces, Spreads & Dips",sakurafresh,265.0,265.0,"Jams, Marmalade, Spreads",,Not Rated,0.0,0.0
15807,kara coconut milk - uht natural 200 ml + fresho meat fish fillet - basa 500 gm,Gourmet & World Food,Cooking & Baking Needs,bb combo,355.0,370.0,"Curry Paste, Coconut Milk",,Not Rated,15.0,4.054054054054054
15808,dahnul oudh bakhakh edp perfume for unisex,Beauty & Hygiene,Fragrances & Deos,ajmal,1840.0,2000.0,Eau De Parfum,1.0,Rated,160.0,8.0
15809,dog supplement for large breed dogs - absolute calcium milk bone,"Kitchen, Garden & Pets",Pet Food & Accessories,drools,408.0,480.0,Pet Meals & Treats,5.0,Rated,72.0,15.0
15810,"glass container set - round, store fresh","Kitchen, Garden & Pets",Crockery & Cutlery,treo,359.0,465.0,Glassware,4.1,Rated,106.0,22.795698924731184
15811,pure honey - super saver pack,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",saffola,257.0,275.0,Honey,4.5,Rated,18.0,6.545454545454546
15812,"dining mat with coasters plastic - multicolour, bb172-4","Kitchen, Garden & Pets",Kitchen Accessories,dp,139.0,139.0,Kitchen Tools & Other Accessories,5.0,Rated,0.0,0.0
15813,gin cocktail mixers - 100% natural,Gourmet & World Food,Drinks & Beverages,swa artisanal syrups,1200.0,1200.0,Gourmet Juices & Drinks,,Not Rated,0.0,0.0
15814,bib - ice cream printed,Baby Care,Baby Accessories,morison baby dreams,125.0,125.0,Other Baby Accessories,,Not Rated,0.0,0.0
15815,geranium essential oil for scalp,Beauty & Hygiene,Skin Care,nectar valley,520.0,520.0,Aromatherapy,,Not Rated,0.0,0.0
15816,chicken seekh kabab - khas khas,"Eggs, Meat & Fish","Sausages, Bacon & Salami",fresho,207.9,270.0,Chicken Sausages,,Not Rated,62.099999999999994,23.0
15817,black pepper wok sauce,Gourmet & World Food,"Sauces, Spreads & Dips",real thai,210.0,210.0,Thai & Asian Sauces,4.8,Rated,0.0,0.0
15818,disney moana kids pencil box with sharpener,Cleaning & Household,Stationery,hm international,249.0,249.0,Exam Pads & Pencil Box,3.0,Rated,0.0,0.0
15819,arabian sea salt,Gourmet & World Food,Cooking & Baking Needs,urban platter,142.5,150.0,Exotic Sugar & Salt,4.5,Rated,7.5,5.0
15820,icecream mix - strawberry,Gourmet & World Food,Cooking & Baking Needs,puramate,43.2,48.0,"Baking, Cake Decorations",3.8,Rated,4.799999999999997,9.999999999999993
15821,ultra mosquito repellant refill,Cleaning & Household,Fresheners & Repellents,all out,121.0,134.0,Mosquito Repellent,4.1,Rated,13.0,9.701492537313433
15822,"aloe protection body lotion - spf 15, for men & women",Beauty & Hygiene,Skin Care,nivea,276.25,425.0,Body Care,4.2,Rated,148.75,35.0
15823,plastic smart rectangle container - assorted colour,"Kitchen, Garden & Pets",Storage & Accessories,flair,79.0,135.0,Containers Sets,3.0,Rated,56.0,41.48148148148148
15824,baby reusable diaper - pink,Baby Care,Diapers & Wipes,quick dry,499.0,499.0,Diapers,3.0,Rated,0.0,0.0
15825,marathi moggu,"Foodgrains, Oil & Masala",Masalas & Spices,bb royal,52.0,80.0,Whole Spices,,Not Rated,28.0,35.0
15826,"steel milk/sauce/tea pan - no. 9, regular","Kitchen, Garden & Pets",Cookware & Non Stick,bb home,199.0,279.0,Tawa & Sauce Pan,,Not Rated,80.0,28.673835125448026
15827,bb home loofah brown bh002 brn 1 pc + dettol honey & shea butter gel 250 ml,Beauty & Hygiene,Bath & Hand Wash,bb combo,249.0,349.0,Bathing Accessories,,Not Rated,100.0,28.653295128939828
15828,"fruits & vegetables washing liquid - safely removes germs, chemicals & waxes",Cleaning & Household,All Purpose Cleaners,veggie clean,49.0,49.0,Disinfectant Spray & Cleaners,4.3,Rated,0.0,0.0
15829,100% anti hangover drink - apple,Gourmet & World Food,Drinks & Beverages,armr,100.0,100.0,Gourmet Juices & Drinks,,Not Rated,0.0,0.0
15830,sweet chilli sauce,Gourmet & World Food,"Sauces, Spreads & Dips",bechef,120.0,150.0,Thai & Asian Sauces,3.2,Rated,30.0,20.0
15831,toilet bowl cleaner,Cleaning & Household,All Purpose Cleaners,purecult,209.3,299.0,Toilet Cleaners,,Not Rated,89.69999999999999,30.0
15832,super immuno amla & vitamin-c immunity booster gummies for kids,Beauty & Hygiene,Health & Medicine,pediacare,79.2,99.0,Supplements & Proteins,,Not Rated,19.799999999999997,20.0
15833,double chocolate cookies,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",cookie man,225.0,250.0,"Bakery Biscuits, Cookies",4.0,Rated,25.0,10.0
15834,after wash liquid laundry sanitizer - spring blossom,Cleaning & Household,All Purpose Cleaners,dettol,261.0,290.0,"Fabric Pre, Post Wash",4.2,Rated,29.0,10.0
15835,bombay cutting chai premium chai tea,Gourmet & World Food,Drinks & Beverages,tgl co.,359.4,599.0,Gourmet Tea & Tea Bags,,Not Rated,239.60000000000002,40.0
15836,swarnamukhi face pack,Beauty & Hygiene,Health & Medicine,kerala ayurveda,200.0,200.0,Ayurveda,,Not Rated,0.0,0.0
15837,nacho crisps - sea salt,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",cornitos,76.5,85.0,Nachos & Chips,4.1,Rated,8.5,10.0
15838,"organic - moong dal/hesaru bele, unpolished","Foodgrains, Oil & Masala",Organic Staples,bb royal,282.0,449.0,Organic Dals & Pulses,4.0,Rated,167.0,37.193763919821826
15839,organic brown chana,"Foodgrains, Oil & Masala",Organic Staples,tata sampann,76.5,90.0,Organic Dals & Pulses,4.4,Rated,13.5,15.0
15840,cookies - finger millet,Snacks & Branded Foods,Biscuits & Cookies,bliss tree,40.0,40.0,Cookies,4.3,Rated,0.0,0.0
15841,saffron care kesar massage cream,Beauty & Hygiene,Skin Care,natures essence,195.0,195.0,Face Care,3.9,Rated,0.0,0.0
15842,everyday shampoo,Beauty & Hygiene,Hair Care,sebamed,479.2,599.0,Shampoo & Conditioner,4.2,Rated,119.80000000000001,20.0
15843,100% natural premium whole cashews - value pack,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",happilo,581.25,775.0,Dry Fruits & Berries,,Not Rated,193.75,25.0
15844,multivitamins effervescent tablets,Beauty & Hygiene,Health & Medicine,azani active nutrition,720.0,720.0,Supplements & Proteins,,Not Rated,0.0,0.0
15845,konnyaku jelly - lychee fruit & apple fruit flavour,Snacks & Branded Foods,Chocolates & Candies,cocon,180.0,180.0,Chocolates,4.0,Rated,0.0,0.0
15846,sugarfree power mix,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",fabbox,400.0,400.0,"Healthy, Baked Snacks",,Not Rated,0.0,0.0
15847,hyaluronic acid moisture serum,Beauty & Hygiene,Skin Care,it's skin,810.0,900.0,Face Care,,Not Rated,90.0,10.0
15848,neem honey,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",graminway,249.0,249.0,Honey,4.6,Rated,0.0,0.0
15849,organic cotton pads - heavy,Beauty & Hygiene,Feminine Hygiene,yoni,354.0,354.0,Tampons & Menstrual Cups,,Not Rated,0.0,0.0
15850,sata (thor),Snacks & Branded Foods,Indian Mithai,sangam sweets,320.0,320.0,Fresh Sweets,,Not Rated,0.0,0.0
15851,dazzle opalware noodle bowl set - tropical lagoon,"Kitchen, Garden & Pets",Crockery & Cutlery,cello,169.0,225.0,Plates & Bowls,4.3,Rated,56.0,24.88888888888889
15852,toor dal/togari bele,"Foodgrains, Oil & Masala",Dals & Pulses,tata sampann,154.0,189.0,"Toor, Channa & Moong Dal",4.1,Rated,35.0,18.51851851851852
